std_smiles,CHEMBL1075317.csv,CHEMBL1163125.csv,CHEMBL1795116.csv,CHEMBL1829.csv,CHEMBL1865.csv,CHEMBL1937.csv,CHEMBL1993.csv,CHEMBL2157850.csv,CHEMBL2169716.csv,CHEMBL2185.csv,CHEMBL2189110.csv,CHEMBL2424504.csv,CHEMBL2563.csv,CHEMBL2971.csv,CHEMBL301.csv,CHEMBL3045.csv,CHEMBL3055.csv,CHEMBL308.csv,CHEMBL3105.csv,CHEMBL3142.csv,CHEMBL3192.csv,CHEMBL325.csv,CHEMBL3524.csv,CHEMBL3774295.csv,CHEMBL4036.csv,CHEMBL4145.csv,CHEMBL4630.csv,CHEMBL4722.csv,CHEMBL5024.csv,CHEMBL5406.csv,CHEMBL5747.csv,CHEMBL5776.csv,CHEMBL5921.csv,CHEMBL6032.csv,CHEMBL6136.csv,CHEMBL6175.csv
CN(C)C(=O)c1ccc(-c2cnc(N)c(-c3nnc(-c4cscn4)o3)n2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Cc1nccnc1C(C(N)=O)c1cc(-c2ncnc3cc(N4CCOCC4)ccc23)ccc1Cl,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
CC(Oc1ccccc1[C@H]1CCCNC1)C(=O)NC[C@@H](O)CN1CCc2ccccc2C1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc2c(cc(NC3CCN(C)CC3)c3nnc(C)n32)n1Cc1cccnc1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(OC)c2)ccc1OC/C=C(\C)CC/C=C(\C)CCC=C(C)C,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
CNCc1ccc(-c2cc(-c3nc(-c4ccc([S+]([O-])C5CCOC5)cc4)cnc3N)on2)c(F)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Cn1cc(-c2cc(CN3CCSC3=N)cc(C(=O)N[C@H](c3ccc(Cl)c(Cl)c3)C3CC3)c2)c(C(F)(F)F)n1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN1CCN(c2ccc(C(=O)C=Cc3cccc(C=CC(O)=NO)n3)cc2)CC1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
CC(=O)c1c(C)c2cnc(Nc3ccccn3)nc2n(C2CCCC2)c1=O,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
N#Cc1c(SC(C(N)=O)c2ccccc2)nc(N2CCC(NCC(=O)O)CC2)c(C#N)c1C1CC1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCC(C)(C)S(=O)(=O)c1ccc(Nc2nn([C@H]3COCC[C@@H]3C#N)c3cc[nH]c(=O)c23)cc1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
CCN(C(=O)CO)C1CN(C(=NC#N)Nc2cc(OC(F)F)ccc2OC)N=C1c1ccc(Cl)c(Cl)c1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCCOc1ccc2c(c1)nc(NCCCCNC(=O)C(C)(C)OC(C)=O)c1nnc(C)n12,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(-c2cc(N3CCOCC3)nc3c(-c4cc[nH]n4)nccc23)cnc1F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
O=C(Nc1ccccc1)c1cc2sccc2n1-c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
Cn1cc(-c2ccc3c([nH]c(=O)n3C)c2Sc2ccccc2)c2cc[nH]c2c1=O,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
